States/UTs,No. of Motor Vehicles/1000 population during 2011-12
Andhra Pradesh,145
Arunachal Pradesh,121
Assam,58
Bihar,31
Chhattisgarh,126
Goa,476
Gujarat,241
Haryana,231
Himachal Pradesh,107
Jammu and Kashmir,77
Jharkhand,99
Karnataka,182
Kerala,198
Madhya Pradesh,111
Maharashtra,170
Manipur,87
Meghalaya,75
Mizoram,100
Nagaland,128
Odisha,91
Punjab,224
Rajasthan,130
Sikkim,70
Tamil Nadu,257
Tripura,56
Uttarakhand,123
Uttar Pradesh,76
West Bengal,43
Andaman and Nicobar Islands,152
Chandigarh,702
Dadra and Nagar Haveli,228
Daman and Diu,302
Delhi,387
Lakshadweep,129
Puducherry,521
